GKSL,WKL,GKSL_encoded,WKL_encoded
남 지역 곳 저기 다음 곳,남부정류장 지나서 내려주세요.,"[2, 1409, 4329, 1021, 3990, 5561, 1577, 1021, 3]","[2, 1415, 7227, 6107, 7178, 4303, 6553, 1442, 7282, 54, 3]"
남 지역 곳 다음 여기,남부정류장 지나서 내려주세요.,"[2, 1409, 4329, 1021, 1577, 3301, 3]","[2, 1415, 7227, 6107, 7178, 4303, 6553, 1442, 7282, 54, 3]"
하나 다음 보다 ?,다음 역에서 보시나요?,"[2, 4928, 1577, 2368, 633, 3]","[2, 1577, 3322, 6903, 2355, 6705, 5655, 6999, 258, 3]"
인천 버스 곳 어디 ?,인천 시내로 가는 버스 승강장은 어디에 있습니까?,"[2, 3790, 2305, 1021, 3223, 633, 3]","[2, 3790, 2959, 5678, 6079, 736, 2305, 2949, 5350, 7186, 3223, 6896, 3854, 6700, 258, 3]"
땅 차내리다 오케이 ?,땅에서 내려드릴까요?,"[2, 1841, 4402, 5678, 6122, 5782, 3417, 7525, 633, 3]","[2, 1841, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
이익 손해 사용 불가능 ?,이해가 안되나요?,"[2, 3736, 2860, 7848, 2613, 2486, 633, 3]","[2, 3752, 5330, 3135, 5886, 5655, 6999, 258, 3]"
물 컵 곳 여기 ?,정수기는 여기에 있습니까?,"[2, 2135, 517, 7520, 1021, 3301, 633, 3]","[2, 4092, 6629, 5568, 3302, 3854, 6700, 258, 3]"
용기 사라지다 실종 ?,용기를 잃어버리셨나요?,"[2, 3494, 5561, 2583, 5782, 3051, 633, 3]","[2, 3494, 5573, 517, 7135, 6855, 6324, 6604, 5655, 6999, 258, 3]"
서울 곳 찾다 가다 방법 ?,서울로 가려면 어떻게 가나요?,"[2, 2726, 1021, 517, 7404, 5782, 517, 5330, 5782, 2270, 633, 3]","[2, 2726, 6079, 747, 6198, 3225, 517, 5330, 5655, 6999, 258, 3]"
돈 거짓 죽다 ?,가사인가요?,"[2, 1730, 862, 7356, 4244, 5782, 633, 3]","[2, 517, 5330, 6493, 7119, 5330, 6999, 258, 3]"
핸드폰 교환 곳 ?,휴대폰을 교환할 수 있는 곳이 어디입니까?,"[2, 517, 7861, 7736, 1114, 1021, 633, 3]","[2, 5194, 7088, 1114, 7836, 2872, 3860, 1022, 3223, 7138, 5771, 258, 3]"
중 사이 전 저기 차내리다,중간정류장 못가서 내려주세요.,"[2, 4257, 2618, 4012, 3990, 5561, 4402, 5678, 6122, 5782, 3]","[2, 4258, 7227, 6107, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
점 없다 심심하다,할 점이 없어서 심심하다,"[2, 4074, 3273, 3060, 6745, 7798, 3]","[2, 4977, 4081, 3278, 6553, 3060, 6745, 7798, 3]"
항해 끝,항해를 마치다,"[2, 4992, 7848, 1363, 3]","[2, 4992, 7848, 6116, 1923, 5782, 3]"
타다 사람 맞다 ?,타는 사람이 맞나요?,"[2, 4698, 5782, 2584, 1970, 5782, 633, 3]","[2, 4698, 5760, 2589, 1970, 5655, 6999, 258, 3]"
미래 목적 가다 길 방법 ?,미래로 가려면 어떻게 가나요?,"[2, 2155, 2076, 517, 5330, 5782, 1315, 2270, 633, 3]","[2, 2155, 6079, 747, 6198, 3225, 517, 5330, 5655, 6999, 258, 3]"
한국 항공 표 여기 곳 ?,대한항공 카운터는 여기에 있습니까?,"[2, 4958, 4993, 4880, 3301, 1021, 633, 3]","[2, 1684, 4635, 7010, 7609, 5760, 3302, 3854, 6700, 258, 3]"
책 듣다 기분 좋다,책을 들었더니 기분이 좋다,"[2, 4457, 1799, 5782, 1282, 4206, 3]","[2, 4457, 7088, 1801, 6885, 5838, 1282, 7096, 4206, 3]"
북 부 곳 전 보다 내리다,북부정류장 못가서 내려주세요.,"[2, 2462, 2423, 1021, 4012, 2368, 1444, 5782, 3]","[2, 517, 6414, 7227, 6107, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
둘 시간 원인 헤어지다,두 사람은 시간차이로 헤어졌다,"[2, 1779, 2962, 3538, 5047, 7318, 5782, 3]","[2, 1773, 2587, 2962, 7389, 7096, 6079, 5047, 7250, 3]"
핸드폰 사용 곳 어디 ?,휴대폰을 사용할 수 있는 곳이 어디입니까?,"[2, 517, 7861, 7736, 2613, 1021, 3223, 633, 3]","[2, 5194, 7088, 2616, 2872, 3860, 1022, 3223, 7138, 5771, 258, 3]"
엄마 생각 때문에 기분 별로,엄마가 생각해서 기분이 별로야,"[2, 3257, 2705, 1849, 1282, 517, 6357, 3]","[2, 3257, 5330, 2709, 6553, 1282, 7096, 517, 6357, 6844, 3]"
무덤 장소 곳,묘지로 가주세요.,"[2, 2095, 5845, 3962, 1021, 3]","[2, 2094, 7318, 6079, 517, 5330, 7282, 54, 3]"
왕릉 거북 버스 곳 ?,경주 시내로 가는 버스 승강장은 어디에 있습니까?,"[2, 3465, 6120, 862, 6412, 2305, 1021, 633, 3]","[2, 953, 7276, 2959, 5678, 6079, 736, 2305, 2949, 5350, 7186, 3223, 6896, 3854, 6700, 258, 3]"
도시 가운데 전 곳 저기 도착 차내리다,시내정류장 못가서 내려주세요.,"[2, 1713, 757, 4012, 1021, 3990, 5561, 1723, 4402, 5678, 6122, 5782, 3]","[2, 2959, 5678, 7227, 6107, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
무엇 -보다 더 잘하다 소심,무엇보다 잘해서 의기소침해졌다,"[2, 2095, 6884, 524, 6371, 1698, 3942, 7798, 2822, 6745, 3]","[2, 2113, 3942, 7850, 517, 7095, 5561, 6607, 7491, 7855, 3]"
일 친구 찾다 실종 ?,동료를 잃어버리셨나요?,"[2, 3803, 4627, 517, 7404, 5782, 3051, 633, 3]","[2, 1745, 6116, 517, 7135, 6855, 6324, 6604, 5655, 6999, 258, 3]"
달 빛 문 손 끼다,달빛이 문틈에 손이 끼었어요.,"[2, 1597, 2553, 2120, 2860, 1369, 5782, 3]","[2, 1597, 6458, 7096, 2120, 7671, 6896, 2860, 7096, 1369, 6885, 6857, 54, 3]"
이틀 먹다 아니다 배고프다 아니다 이상하다,이틀을 굶었는데도 이상하게 배가 고프지 않았다,"[2, 3750, 2010, 5782, 3100, 2287, 5439, 7753, 5782, 3100, 3704, 7798, 3]","[2, 3750, 7088, 517, 5518, 6887, 5859, 3704, 7784, 2287, 5330, 993, 7753, 7318, 3157, 3]"
지하철 안 골짜기,객실에서 불쾌한 골짜기가 납니다.,"[2, 4347, 3135, 1016, 7361, 5561, 3]","[2, 517, 5370, 6740, 2485, 7548, 7828, 1016, 7361, 5562, 517, 5669, 5772, 54, 3]"
가방 안 없다 ?,가방 안에 없나요?,"[2, 752, 3135, 3273, 633, 3]","[2, 752, 3138, 3270, 5655, 6999, 258, 3]"
친구 먹다 중간 흰 네모 자르다 먹다 뒤,친구가 음식을 먹다가 뒤로 방부제를 같이 먹었어요.,"[2, 4627, 2010, 5782, 4258, 517, 7995, 1469, 6213, 3886, 6113, 5782, 2010, 5782, 1783, 3]","[2, 4627, 5330, 3609, 7088, 2010, 5782, 5330, 1783, 6079, 2267, 6398, 7236, 834, 2010, 6885, 6857, 54, 3]"
여기 차 되다 ?,여기서 차를 탈 수 있나요?,"[2, 3301, 4402, 1763, 5782, 633, 3]","[2, 3301, 6553, 4402, 6116, 4711, 2872, 3854, 5655, 6999, 258, 3]"
2016 새롭다 날 개최,"2016년, 새해가 개최된다","[2, 577, 2695, 6087, 5782, 1407, 854, 3]","[2, 577, 5712, 46, 2702, 5330, 854, 5900, 3]"
밖 겁 경찰 부르다 부탁,밖에 겁이 났어요. 경찰을 불러주세요.,"[2, 517, 6284, 517, 5397, 975, 2432, 5782, 2458, 3]","[2, 2205, 517, 5397, 7096, 517, 5671, 6857, 54, 975, 7088, 2493, 7282, 54, 3]"
아기 한숨 힘들다,아기가 한숨을 안 쉬어요.,"[2, 3093, 5561, 4955, 6646, 5213, 5782, 3]","[2, 3093, 5562, 4955, 6646, 7088, 3135, 2923, 6857, 54, 3]"
짐 무게 초과 추가 돈주다 곳 여기 ?,수하물 추가요금은 여기서 내나요?,"[2, 4383, 2096, 4502, 4542, 1730, 7276, 5782, 1021, 3301, 633, 3]","[2, 2872, 7782, 6241, 4542, 7000, 7086, 3301, 6553, 1434, 5655, 6999, 258, 3]"
짐 무게 초과 추가 돈주다 곳 누구 ?,수하물 추가요금은 누구서 내나요?,"[2, 4383, 2096, 4502, 4542, 1730, 7276, 5782, 1021, 1528, 633, 3]","[2, 2872, 7782, 6241, 4542, 7000, 7086, 1528, 6553, 1434, 5655, 6999, 258, 3]"
부리 날다 키우다,새를 키우다,"[2, 2423, 6122, 1407, 5782, 4695, 5782, 3]","[2, 2695, 6116, 4695, 5782, 3]"
감사 사랑 전하다 위하다 편지 쓰다,고마운 사랑을 담아 편지를 준비했다,"[2, 793, 2590, 4012, 7798, 3552, 7798, 4832, 7318, 3084, 5782, 3]","[2, 993, 6141, 7010, 2591, 1613, 4832, 7329, 4249, 7869, 3]"
미안 다시 날 생기다 아니다 주의,죄송합니다 다신 이런 날이 없도록 주의하겠습니다.,"[2, 2149, 6812, 1574, 1407, 2710, 5782, 3100, 4213, 7095, 3]","[2, 4212, 6621, 7843, 1562, 6733, 3672, 1407, 7096, 3276, 4213, 7095, 7782, 5409, 54, 3]"
일 친구 각각 성격 다르다,동료들은 각각 성격이 다르다,"[2, 3803, 4627, 774, 2782, 1566, 3]","[2, 1745, 5937, 774, 2782, 7096, 1566, 3]"
나 1호 되다,나서 1호선을 탈 수 있습니다.,"[2, 1370, 529, 7925, 1763, 5782, 3]","[2, 1381, 529, 7927, 7088, 4711, 2872, 3867, 54, 3]"
독,독이 불다,"[2, 1725, 3]","[2, 1725, 7096, 2485, 5782, 3]"
숨다 성질 사용 불가능 고장 ?,음성 인식이 안되나요?,"[2, 2919, 5782, 2781, 7350, 2613, 2486, 993, 7178, 633, 3]","[2, 3608, 3781, 7096, 3135, 5886, 5655, 6999, 258, 3]"
항공 목욕 여기 ?,공항 내 샤워실이 여기에 있나요?,"[2, 4993, 2068, 7001, 3301, 633, 3]","[2, 1055, 1434, 517, 6546, 7018, 6738, 7096, 3302, 3854, 5655, 6999, 258, 3]"
한달 누적사용 분 보다 원하다,정기권 사용 분을 알고 싶습니다.,"[2, 4955, 5793, 1533, 6493, 7003, 2468, 2368, 3533, 7798, 3]","[2, 4096, 5524, 2613, 2468, 7088, 3168, 517, 6751, 6701, 54, 3]"
상처 받다 충분,상처 받았다면 충분해,"[2, 2679, 2220, 5782, 4593, 3]","[2, 2679, 2230, 6198, 4593, 7848, 3]"
지하철 철로 물 떨어지다,선로에 물을 떨어뜨렸습니다.,"[2, 4347, 4473, 6079, 2135, 1859, 5782, 3]","[2, 2734, 6079, 6896, 2135, 7088, 1856, 6855, 5991, 6072, 6701, 54, 3]"
쌍둥이 낳다 그렇다면 행복 노력 더 2배,쌍둥이를 낳으면 행복과 노력은 두배이다,"[2, 517, 6759, 5913, 7096, 1433, 5782, 1185, 6049, 5784, 5025, 1481, 1698, 553, 6312, 3]","[2, 517, 6759, 5913, 7096, 6116, 1433, 7083, 5025, 5468, 1481, 7086, 1773, 6312, 7100, 3]"
핸드폰 찾다 실종 ?,핸드폰을 분실하셨나요?,"[2, 517, 7861, 7736, 517, 7404, 5782, 3051, 633, 3]","[2, 517, 7861, 7736, 7088, 2468, 6738, 7782, 6604, 5655, 6999, 258, 3]"
비행기 안 비행기 가지다 가능 ?,비행기를 기내에 가져갈 수 있나요?,"[2, 2545, 3135, 2545, 767, 5782, 737, 633, 3]","[2, 2545, 6116, 1258, 5678, 6896, 763, 5340, 2872, 3854, 5655, 6999, 258, 3]"
상대방 술 마시다 때문에 고생,상대방이 술을 마시기 때문에 힘들다,"[2, 2664, 6305, 2918, 1907, 6705, 5782, 1849, 993, 6542, 3]","[2, 2664, 6305, 7096, 2918, 7088, 1907, 6705, 5561, 1849, 5213, 5782, 3]"
구별 불량 안되다 ?,구별이 안되나요?,"[2, 1115, 6356, 2485, 6035, 3135, 5886, 5782, 633, 3]","[2, 1115, 6356, 7096, 3135, 5886, 5655, 6999, 258, 3]"
고속버스 전 저기 곳,고속버스정류장 못가서 내려주세요.,"[2, 993, 6615, 6326, 4012, 3990, 5561, 1021, 3]","[2, 993, 6615, 6326, 7227, 6107, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
나무 빽빽하다 저기 다음 도착 내리다 ?,숲 지나서 내려드릴까요?,"[2, 517, 5660, 517, 6465, 6465, 7798, 3990, 5561, 1577, 1723, 1444, 5782, 633, 3]","[2, 517, 6651, 4303, 6553, 1442, 5920, 6135, 5591, 6999, 258, 3]"
집중 고장 안되다 ?,집중이 안되나요?,"[2, 4389, 993, 7178, 3135, 5886, 5782, 633, 3]","[2, 4389, 7096, 3135, 5886, 5655, 6999, 258, 3]"
아버지 어머니 쉬다 날 때문에 집 계시다,부모께서 공휴일이라 집에 계신다,"[2, 3112, 3236, 2923, 5782, 1407, 1849, 4384, 980, 6705, 5782, 3]","[2, 2433, 5612, 1023, 7982, 7126, 7101, 4384, 6896, 980, 6733, 5782, 3]"
오락 놀다 방문 농인 위하다 서비스 드리다,게임을 이용하시는 농인들을 위한 서비스를 제공하고 있습니다.,"[2, 3417, 6015, 1504, 5782, 2268, 1507, 7119, 3552, 7798, 2724, 517, 5924, 5782, 3]","[2, 926, 7088, 3726, 7782, 6705, 5760, 1507, 7119, 5938, 3566, 2725, 4131, 3867, 54, 3]"
우회전 확인 하다 ?,우회전 하으시죠?,"[2, 3498, 7953, 7207, 5130, 4932, 633, 3]","[2, 3498, 7953, 7207, 4924, 7074, 6705, 7275, 258, 3]"
항공 짐 검사 두다 여기 ?,수하물보관소가 여기에 있습니까?,"[2, 4993, 4383, 897, 1773, 5782, 3301, 633, 3]","[2, 2872, 7782, 6241, 6364, 5474, 6607, 5330, 3302, 3854, 6700, 258, 3]"
항상 빛나다 원하다,항상 빛나고 싶어,"[2, 4996, 2553, 5655, 5782, 3533, 7798, 3]","[2, 4996, 2553, 5655, 5439, 3073, 3]"
집 차두다,집으로 가주세요.,"[2, 4384, 4402, 5907, 5782, 3]","[2, 4384, 7078, 517, 5330, 7282, 54, 3]"
나 동 오다 새롭다 학생 반갑다 박수,저희 동에 온 신입생 여러분을 환영합니다,"[2, 1370, 1741, 3417, 5782, 2695, 6087, 5782, 4952, 2207, 5345, 5782, 2202, 3]","[2, 3990, 7993, 1741, 6896, 3437, 3010, 7138, 6542, 3305, 7088, 5138, 7843, 3]"
기억 천천히,천천히 기억해주세요.,"[2, 1291, 4471, 7422, 7996, 3]","[2, 4471, 7422, 7996, 1291, 7848, 7282, 54, 3]"
친구 먹다 중간 흰 네모 자르다 먹다 생각 사라지다,친구가 음식을 먹다가 의외로 방부제를 같이 먹었어요.,"[2, 4627, 2010, 5782, 4258, 517, 7995, 1469, 6213, 3886, 6113, 5782, 2010, 5782, 2705, 2583, 5782, 3]","[2, 4627, 5330, 3609, 7088, 2010, 5782, 5330, 517, 7095, 6995, 6079, 2267, 6398, 7236, 834, 2010, 6885, 6857, 54, 3]"
나 -보다 도 잘하다 질투,나보다 도 잘하시니깐 질투가 난다,"[2, 1370, 524, 6371, 517, 5859, 3942, 7798, 4379, 7641, 3]","[2, 1370, 6371, 517, 5859, 3942, 7782, 6705, 5770, 5595, 4379, 7641, 5330, 1406, 5782, 3]"
롯데월드 갈다 목적 지하철 번호 ?,롯데월드로 갈려면 몇 호선을 타야하나요?,"[2, 1893, 7030, 781, 5782, 2076, 4347, 517, 6330, 633, 3]","[2, 1893, 7030, 6079, 781, 6063, 2043, 5090, 6564, 4698, 6844, 7792, 6999, 258, 3]"
광고 취소 가능 ?,광고를 취소 할 수 있을까요?,"[2, 1097, 4602, 737, 633, 3]","[2, 1097, 6116, 4602, 4977, 2872, 3881, 6999, 258, 3]"
고속버스 곳 전 보다 도착 내리다,고속버스정류장 못가서 내려주세요.,"[2, 993, 6615, 6326, 1021, 4012, 2368, 1723, 1444, 5782, 3]","[2, 993, 6615, 6326, 7227, 6107, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
택시 전 곳 보다 내리다,택시정류장 못가서 내려주세요.,"[2, 4727, 4012, 1021, 2368, 1444, 5782, 3]","[2, 4727, 7227, 6107, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
여기 버스 되다,여기서 버스를 탈 수 있습니다.,"[2, 3301, 2305, 1763, 5782, 3]","[2, 3301, 6553, 2305, 6116, 4711, 2872, 3867, 54, 3]"
점심 불다 끝,점심 불었어,"[2, 4074, 6745, 2485, 5782, 1363, 3]","[2, 4074, 6745, 2485, 6885, 6855, 3]"
힘들다 그만두다 물러나다 원하다,힘들어서 그만두고 싶다,"[2, 5213, 5782, 1185, 6150, 5907, 5782, 2135, 6037, 5655, 5782, 3533, 7798, 3]","[2, 5213, 6855, 6553, 1185, 6150, 5907, 5439, 3072, 3]"
택시 타다 여러분 안내 대하여 전하다,택시에 타신 승객 여러분께 안내 말씀 드리겠습니다,"[2, 4727, 4698, 5782, 3305, 3136, 1633, 7815, 4012, 7798, 3]","[2, 4727, 6896, 4698, 6733, 2950, 3304, 6420, 3136, 1961, 517, 5924, 5409, 3]"
무엇 -보다 여자 더 마르다,무엇보다 그 여자가 더 말랐어,"[2, 2095, 6884, 524, 6371, 3318, 1698, 1907, 6113, 5782, 3]","[2, 2113, 1185, 3318, 5330, 1698, 1958, 6021, 6855, 3]"
상황 고장 잘 안되다,상황 인식이 안되네요.,"[2, 2689, 993, 7178, 3942, 3135, 5886, 5782, 3]","[2, 2689, 3781, 7096, 3135, 5886, 5703, 54, 3]"
감사 잘 보이다,어머나 고마워요 잘 보이겠습니다,"[2, 793, 3942, 2355, 7100, 3]","[2, 3220, 6179, 5655, 993, 6141, 7018, 6999, 3942, 2387, 5409, 3]"
밤 춥다 나오다 하지마 집 계시다,밤은 추우니 나오지 말고 집에 있어,"[2, 2265, 517, 7470, 5782, 1388, 5782, 4945, 6141, 4384, 980, 6705, 5782, 3]","[2, 2265, 7086, 4541, 7005, 5770, 1388, 7318, 1958, 5439, 4384, 6896, 3868, 3]"
도시 가운데 곳 저기 다음 곳 ?,시내정류장 지나서 내려드릴까요?,"[2, 1713, 757, 1021, 3990, 5561, 1577, 1021, 633, 3]","[2, 2959, 5678, 7227, 6107, 7178, 4303, 6553, 1442, 5920, 6135, 5591, 6999, 258, 3]"
애 딸 낳다,내 애가 딸을 낳았어,"[2, 3194, 1840, 1433, 5782, 3]","[2, 1434, 3194, 5330, 1840, 7088, 1433, 6827, 6855, 3]"
휠체어 빌리다 곳 그 곳 ?,휠체어 대여소가 저기에 있습니까?,"[2, 517, 7980, 7436, 6855, 2549, 6122, 5782, 1021, 1185, 1021, 633, 3]","[2, 517, 7980, 7436, 6855, 1633, 6916, 6607, 5330, 3990, 5579, 3854, 6700, 258, 3]"
사람 각각 뜻 다르다,사람들은 각각 뜻이 다르다,"[2, 2584, 774, 1872, 1566, 3]","[2, 2585, 7086, 774, 1872, 7096, 1566, 3]"
모래 넓다 동물 만나다 공격,사막에서 야생동물을 만났어요. 저를 공격할 것 같아요.,"[2, 2044, 6023, 1459, 5782, 1746, 1933, 5782, 1030, 3]","[2, 2573, 6149, 6903, 3206, 6542, 5872, 6242, 1931, 5671, 6857, 54, 3990, 6116, 1030, 7836, 905, 832, 6999, 54, 3]"
아기 임시 빌리다 어디 곳 ?,임시 대여소가 어디에 있습니까?,"[2, 3093, 5561, 3831, 2549, 6122, 5782, 3223, 1021, 633, 3]","[2, 3831, 1633, 6916, 6607, 5330, 3223, 6896, 3854, 6700, 258, 3]"
돈 얼마 맞다 돈 내다,요금 지불해주세요.,"[2, 1730, 3252, 1970, 5782, 1730, 1434, 5782, 3]","[2, 3484, 4297, 6424, 7848, 7282, 54, 3]"
집 -안에 사람 없다,집안에는 아무도 없다,"[2, 4384, 524, 6812, 6896, 2584, 3273, 3]","[2, 4384, 6812, 6900, 3111, 5859, 3273, 3]"
수류탄 여러 가지 실종 잃어버리다 ?,무기를 분실하셨나요?,"[2, 2872, 6107, 7590, 3304, 767, 3051, 517, 7135, 6855, 6324, 5782, 633, 3]","[2, 2097, 6116, 2468, 6738, 7782, 6604, 5655, 6999, 258, 3]"
중앙 곳 다음 내리다,중앙정류장 지나서 내려주세요.,"[2, 4269, 1021, 1577, 1444, 5782, 3]","[2, 4269, 7227, 6107, 7178, 4303, 6553, 1442, 7282, 54, 3]"
형 책 필요 글자 뜻 시키다 책 장소 보내다,형은 책을 사오라고 글을 서점에 보냈다,"[2, 5081, 4457, 4919, 1231, 7147, 1872, 517, 6722, 5782, 4457, 3962, 2363, 5782, 3]","[2, 5081, 7086, 4457, 7088, 2573, 6964, 6004, 1234, 2718, 7220, 6896, 2365, 3]"
마음 잃어버리다 실종 ?,마음을 잃어버리셨나요?,"[2, 1917, 517, 7135, 6855, 6324, 5782, 3051, 633, 3]","[2, 1918, 517, 7135, 6855, 6324, 6604, 5655, 6999, 258, 3]"
다시 재활 지각 방법 ?,재생시간을 놓쳤습니다. 어떻게 해야 하나요?,"[2, 1574, 3988, 4297, 5336, 2270, 633, 3]","[2, 3969, 6542, 6706, 7088, 1522, 7444, 6701, 54, 3225, 5010, 4928, 6999, 258, 3]"
방해 잘 안되다 사용 불가능,방해가 안되네요.,"[2, 2267, 7848, 3942, 3135, 5886, 5782, 2613, 2486, 3]","[2, 2267, 7848, 5330, 3135, 5886, 5703, 54, 3]"
자유 없다 잃어버리다,자유를 잃어버렸습니다.,"[2, 3920, 3273, 517, 7135, 6855, 6324, 5782, 3]","[2, 3920, 6116, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
나 기차 되다 ?,나서 기차를 탈 수 있나요?,"[2, 1370, 1258, 7389, 1763, 5782, 633, 3]","[2, 1381, 1258, 7389, 6116, 4711, 2872, 3854, 5655, 6999, 258, 3]"
사람 항공 가깝다 곳 어디 ?,공항 주변에 사람은 어디있나요?,"[2, 2584, 4993, 517, 5330, 5599, 5782, 1021, 3223, 633, 3]","[2, 1055, 4229, 6896, 2587, 3223, 7141, 5655, 6999, 258, 3]"
정신 실종,정신을 잃어버렸습니다.,"[2, 4117, 3051, 3]","[2, 4117, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
태양 어디 ?,태양은 어디에 있습니까?,"[2, 4724, 3223, 633, 3]","[2, 4724, 7086, 3223, 6896, 3854, 6700, 258, 3]"
성격 다르다 실망,성격이 달라서 실망했다,"[2, 2782, 1566, 3039, 3]","[2, 2782, 7096, 1598, 6553, 3039, 7869, 3]"
집중 사용 불가능 고장 ?,집중이 안되나요?,"[2, 4389, 2613, 2486, 993, 7178, 633, 3]","[2, 4389, 7096, 3135, 5886, 5655, 6999, 258, 3]"
집 탑 넘어지다,집 탑이 무너질려고 해요.,"[2, 4384, 517, 7594, 1465, 7318, 5782, 3]","[2, 4384, 517, 7594, 7096, 2095, 5691, 7350, 6061, 4998, 6999, 54, 3]"
이제 죽다,이제 죽자,"[2, 3742, 4244, 5782, 3]","[2, 3742, 4244, 7147, 3]"
완전 끝 무엇 하다,완결나면 뭐하지,"[2, 3461, 1363, 2095, 6884, 4932, 3]","[2, 3455, 5415, 5655, 6198, 2145, 7819, 3]"
맛 없다,맛이 없다,"[2, 1967, 3273, 3]","[2, 1967, 7096, 3273, 3]"
소원 등록 불량 안되다 ?,지원이 안되나요?,"[2, 2822, 7020, 1818, 2485, 6035, 3135, 5886, 5782, 633, 3]","[2, 4331, 7096, 3135, 5886, 5655, 6999, 258, 3]"
동생 문 바람 끼다,동생이 문틈에 바람이 끼었어요.,"[2, 1750, 2120, 2195, 1369, 5782, 3]","[2, 1750, 7096, 2120, 7671, 6896, 2195, 7096, 1369, 6885, 6857, 54, 3]"
의식 실종 잃어버리다,의식을 잃어버렸습니다.,"[2, 3631, 3051, 517, 7135, 6855, 6324, 5782, 3]","[2, 3631, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
지금 까지 놀다 오늘 일 생각,그 동안 놀았으니 다시 일을 생각해야겠다,"[2, 4299, 517, 5592, 1504, 5782, 3419, 3803, 2705, 3]","[2, 1185, 1754, 1504, 6827, 7076, 1574, 3817, 2705, 7852, 5406, 3]"
언니 생일 믿다,언니의 생일을 믿었다,"[2, 3241, 5770, 2704, 7126, 517, 6266, 5782, 3]","[2, 3241, 5770, 7095, 2704, 7126, 7088, 517, 6266, 6888, 3]"
정신 보다 차내리다,정신 좀 들렀다가주세요.,"[2, 4117, 2368, 4402, 5678, 6122, 5782, 3]","[2, 4117, 4196, 1801, 6047, 5330, 7282, 54, 3]"
나 자유 보이다 원하다,자유롭게 보이고 싶다,"[2, 1370, 3920, 2355, 7100, 3533, 7798, 3]","[2, 3920, 6088, 2388, 3072, 3]"
그 곳 내리다 맞다 ?,저기서 내리는 것이 맞나요?,"[2, 1185, 1021, 1444, 5782, 1970, 5782, 633, 3]","[2, 3990, 5561, 6553, 1444, 5760, 912, 1970, 5655, 6999, 258, 3]"
경험 부족,경험이 부족해,"[2, 979, 2451, 3]","[2, 979, 7096, 2451, 7848, 3]"
도움 불량 안되다 ?,도움이 안되나요?,"[2, 1717, 2485, 6035, 3135, 5886, 5782, 633, 3]","[2, 1719, 3135, 5886, 5655, 6999, 258, 3]"
빛 실종 없다,빛을 잃어버렸습니다.,"[2, 2553, 3051, 3273, 3]","[2, 2553, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
수화 요청 필요 신청 방법,수화요청을 요청하고 싶습니다.,"[2, 2872, 7941, 3490, 4919, 3030, 2270, 3]","[2, 2872, 7941, 6999, 7431, 7088, 3490, 7788, 517, 6751, 6701, 54, 3]"
강아지 만들다,강아지를 만들고 있다,"[2, 807, 6797, 7318, 1940, 5782, 3]","[2, 807, 6797, 7329, 1941, 3862, 3]"
열심히 살피다 일,열심히 감사해,"[2, 3367, 2643, 7767, 5782, 3803, 3]","[2, 3367, 793, 7848, 3]"
빛 사라지다 실종 ?,빛을 잃어버리셨나요?,"[2, 2553, 2583, 5782, 3051, 633, 3]","[2, 2553, 7088, 517, 7135, 6855, 6324, 6604, 5655, 6999, 258, 3]"
데이트 하다 원하다 돈 얼마,데이트를 하고 싶은데 가격이 얼마나 되나요,"[2, 1709, 4932, 3533, 7798, 1730, 3252, 3]","[2, 1709, 6116, 4926, 3075, 5850, 730, 3253, 1763, 5655, 6999, 3]"
오늘 사랑 깨지다 용서 부탁,오늘 헤어졌는데 용서해줘,"[2, 3419, 2590, 1342, 7318, 5782, 3494, 6553, 2458, 3]","[2, 3419, 5047, 7248, 5761, 3494, 6553, 7848, 7303, 3]"
남 책 필요 동생 시키다 책 장소 보내다,남은 책을 사오라고 동생을 서점에 보냈다,"[2, 1409, 4457, 4919, 1750, 517, 6722, 5782, 4457, 3962, 2363, 5782, 3]","[2, 1422, 4457, 7088, 2573, 6964, 6004, 1750, 7088, 2718, 7220, 6896, 2365, 3]"
물건 검사 두다 그 곳 곳 ?,코인로커가 저기에 있습니까?,"[2, 2137, 897, 1773, 5782, 1185, 1021, 1021, 633, 3]","[2, 4665, 7119, 6079, 7512, 5330, 3990, 5579, 3854, 6700, 258, 3]"
일 사람 짐 맡기다 가능 ?,직원을 위탁 수하물로 보낼 수 있나요?,"[2, 3803, 2584, 4383, 1980, 5561, 5782, 737, 633, 3]","[2, 4353, 7088, 3565, 2872, 7782, 6241, 6079, 2355, 5683, 2872, 3854, 5655, 6999, 258, 3]"
