,gloss,spoken,combined
1553,종로 곳 가다 길 방법 ?,종로로 가려면 어떻게 가나요?,종로 곳 가다 길 방법 ?종로로 가려면 어떻게 가나요?
1554,종로 찾다 가다 길 방법 ?,종로로 가려면 어떻게 가나요?,종로 찾다 가다 길 방법 ?종로로 가려면 어떻게 가나요?
1555,종로 목적 가다 길 방법 ?,종로로 가려면 어떻게 가나요?,종로 목적 가다 길 방법 ?종로로 가려면 어떻게 가나요?
1556,종로 곳 가다 길 무엇 ?,종로로 가려면 어떻게 가나요?,종로 곳 가다 길 무엇 ?종로로 가려면 어떻게 가나요?
1558,터널 다음 내리다,터널 지나서 내려주세요.,터널 다음 내리다터널 지나서 내려주세요.
1559,터널 다음 내리다,터널 지나서 내려주세요.,터널 다음 내리다터널 지나서 내려주세요.
1560,터널 다음 차내리다,터널 지나서 내려주세요.,터널 다음 차내리다터널 지나서 내려주세요.
1561,터널 다음 차내리다,터널 지나서 내려주세요.,터널 다음 차내리다터널 지나서 내려주세요.
1562,터널 다음 곳,터널 지나서 내려주세요.,터널 다음 곳터널 지나서 내려주세요.
1563,터널 다음 도착 내리다,터널 지나서 내려주세요.,터널 다음 도착 내리다터널 지나서 내려주세요.
1564,터널 다음 도착 내리다,터널 지나서 내려주세요.,터널 다음 도착 내리다터널 지나서 내려주세요.
1565,터널 다음 도착 차내리다,터널 지나서 내려주세요.,터널 다음 도착 차내리다터널 지나서 내려주세요.
1566,터널 다음 도착 차내리다,터널 지나서 내려주세요.,터널 다음 도착 차내리다터널 지나서 내려주세요.
1567,터널 다음 여기,터널 지나서 내려주세요.,터널 다음 여기터널 지나서 내려주세요.
1568,지하철 곳 다음 내리다,지하철역 지나서 내려주세요.,지하철 곳 다음 내리다지하철역 지나서 내려주세요.
1569,지하철 곳 다음 내리다,지하철역 지나서 내려주세요.,지하철 곳 다음 내리다지하철역 지나서 내려주세요.
1570,지하철 곳 다음 차내리다,지하철역 지나서 내려주세요.,지하철 곳 다음 차내리다지하철역 지나서 내려주세요.
1571,지하철 곳 다음 차내리다,지하철역 지나서 내려주세요.,지하철 곳 다음 차내리다지하철역 지나서 내려주세요.
1572,지하철 곳 다음 곳,지하철역 지나서 내려주세요.,지하철 곳 다음 곳지하철역 지나서 내려주세요.
1573,지하철 곳 다음 도착 내리다,지하철역 지나서 내려주세요.,지하철 곳 다음 도착 내리다지하철역 지나서 내려주세요.
1574,지하철 곳 다음 도착 내리다,지하철역 지나서 내려주세요.,지하철 곳 다음 도착 내리다지하철역 지나서 내려주세요.
1575,지하철 곳 다음 도착 차내리다,지하철역 지나서 내려주세요.,지하철 곳 다음 도착 차내리다지하철역 지나서 내려주세요.
1576,지하철 곳 다음 도착 차내리다,지하철역 지나서 내려주세요.,지하철 곳 다음 도착 차내리다지하철역 지나서 내려주세요.
1577,지하철 곳 다음 여기,지하철역 지나서 내려주세요.,지하철 곳 다음 여기지하철역 지나서 내려주세요.
1578,군청 곳 다음 내리다,동사무소 지나서 내려주세요.,군청 곳 다음 내리다동사무소 지나서 내려주세요.
1579,군청 곳 다음 내리다,동사무소 지나서 내려주세요.,군청 곳 다음 내리다동사무소 지나서 내려주세요.
1580,군청 곳 다음 차내리다,동사무소 지나서 내려주세요.,군청 곳 다음 차내리다동사무소 지나서 내려주세요.
1581,군청 곳 다음 차내리다,동사무소 지나서 내려주세요.,군청 곳 다음 차내리다동사무소 지나서 내려주세요.
1582,군청 곳 다음 곳,동사무소 지나서 내려주세요.,군청 곳 다음 곳동사무소 지나서 내려주세요.
1583,군청 곳 다음 도착 내리다,동사무소 지나서 내려주세요.,군청 곳 다음 도착 내리다동사무소 지나서 내려주세요.
1584,군청 곳 다음 도착 내리다,동사무소 지나서 내려주세요.,군청 곳 다음 도착 내리다동사무소 지나서 내려주세요.
1585,군청 곳 다음 도착 차내리다,동사무소 지나서 내려주세요.,군청 곳 다음 도착 차내리다동사무소 지나서 내려주세요.
1586,군청 곳 다음 도착 차내리다,동사무소 지나서 내려주세요.,군청 곳 다음 도착 차내리다동사무소 지나서 내려주세요.
1587,군청 곳 다음 여기,동사무소 지나서 내려주세요.,군청 곳 다음 여기동사무소 지나서 내려주세요.
1588,병원 다음 여기,병원 지나서 내려주세요.,병원 다음 여기병원 지나서 내려주세요.
1589,병원 다음 내리다,병원 지나서 내려주세요.,병원 다음 내리다병원 지나서 내려주세요.
1590,병원 다음 내리다,병원 지나서 내려주세요.,병원 다음 내리다병원 지나서 내려주세요.
1591,병원 다음 차내리다,병원 지나서 내려주세요.,병원 다음 차내리다병원 지나서 내려주세요.
1592,병원 다음 차내리다,병원 지나서 내려주세요.,병원 다음 차내리다병원 지나서 내려주세요.
1593,병원 저기 다음 곳,병원 지나서 내려주세요.,병원 저기 다음 곳병원 지나서 내려주세요.
1594,병원 저기 다음 도착 내리다,병원 지나서 내려주세요.,병원 저기 다음 도착 내리다병원 지나서 내려주세요.
1595,병원 저기 다음 도착 내리다,병원 지나서 내려주세요.,병원 저기 다음 도착 내리다병원 지나서 내려주세요.
1596,병원 저기 다음 도착 차내리다,병원 지나서 내려주세요.,병원 저기 다음 도착 차내리다병원 지나서 내려주세요.
1597,병원 저기 다음 도착 차내리다,병원 지나서 내려주세요.,병원 저기 다음 도착 차내리다병원 지나서 내려주세요.
1598,샛길 다음 여기,골목 지나서 내려주세요.,샛길 다음 여기골목 지나서 내려주세요.
1599,샛길 다음 내리다,골목 지나서 내려주세요.,샛길 다음 내리다골목 지나서 내려주세요.
1600,샛길 다음 내리다,골목 지나서 내려주세요.,샛길 다음 내리다골목 지나서 내려주세요.
1601,샛길 다음 차내리다,골목 지나서 내려주세요.,샛길 다음 차내리다골목 지나서 내려주세요.
1602,샛길 다음 차내리다,골목 지나서 내려주세요.,샛길 다음 차내리다골목 지나서 내려주세요.
1603,샛길 저기 다음 곳,골목 지나서 내려주세요.,샛길 저기 다음 곳골목 지나서 내려주세요.
1604,샛길 저기 다음 도착 내리다,골목 지나서 내려주세요.,샛길 저기 다음 도착 내리다골목 지나서 내려주세요.
1605,샛길 저기 다음 도착 내리다,골목 지나서 내려주세요.,샛길 저기 다음 도착 내리다골목 지나서 내려주세요.
1606,샛길 저기 다음 도착 차내리다,골목 지나서 내려주세요.,샛길 저기 다음 도착 차내리다골목 지나서 내려주세요.
1607,샛길 저기 다음 도착 차내리다,골목 지나서 내려주세요.,샛길 저기 다음 도착 차내리다골목 지나서 내려주세요.
1608,버스 곳 다음 여기,버스정류장 지나서 내려주세요.,버스 곳 다음 여기버스정류장 지나서 내려주세요.
1609,버스 곳 다음 내리다,버스정류장 지나서 내려주세요.,버스 곳 다음 내리다버스정류장 지나서 내려주세요.
1610,버스 곳 다음 내리다,버스정류장 지나서 내려주세요.,버스 곳 다음 내리다버스정류장 지나서 내려주세요.
1611,버스 곳 다음 차내리다,버스정류장 지나서 내려주세요.,버스 곳 다음 차내리다버스정류장 지나서 내려주세요.
1612,버스 곳 다음 차내리다,버스정류장 지나서 내려주세요.,버스 곳 다음 차내리다버스정류장 지나서 내려주세요.
1613,버스 곳 저기 다음 곳,버스정류장 지나서 내려주세요.,버스 곳 저기 다음 곳버스정류장 지나서 내려주세요.
1618,119 곳 다음 여기,소방서 지나서 내려주세요.,119 곳 다음 여기소방서 지나서 내려주세요.
1619,119 곳 다음 내리다,소방서 지나서 내려주세요.,119 곳 다음 내리다소방서 지나서 내려주세요.
1620,119 곳 다음 내리다,소방서 지나서 내려주세요.,119 곳 다음 내리다소방서 지나서 내려주세요.
1621,119 곳 다음 차내리다,소방서 지나서 내려주세요.,119 곳 다음 차내리다소방서 지나서 내려주세요.
1622,119 곳 다음 차내리다,소방서 지나서 내려주세요.,119 곳 다음 차내리다소방서 지나서 내려주세요.
1623,119 곳 저기 다음 곳,소방서 지나서 내려주세요.,119 곳 저기 다음 곳소방서 지나서 내려주세요.
1628,사거리 다음 내리다,사거리 지나서 내려주세요.,사거리 다음 내리다사거리 지나서 내려주세요.
1629,사거리 다음 내리다,사거리 지나서 내려주세요.,사거리 다음 내리다사거리 지나서 내려주세요.
1630,사거리 다음 차내리다,사거리 지나서 내려주세요.,사거리 다음 차내리다사거리 지나서 내려주세요.
1631,사거리 다음 차내리다,사거리 지나서 내려주세요.,사거리 다음 차내리다사거리 지나서 내려주세요.
1632,사거리 다음,사거리 지나서 내려주세요.,사거리 다음사거리 지나서 내려주세요.
1633,사거리 다음 도착 내리다,사거리 지나서 내려주세요.,사거리 다음 도착 내리다사거리 지나서 내려주세요.
1634,사거리 다음 도착 내리다,사거리 지나서 내려주세요.,사거리 다음 도착 내리다사거리 지나서 내려주세요.
1635,사거리 다음 도착 차내리다,사거리 지나서 내려주세요.,사거리 다음 도착 차내리다사거리 지나서 내려주세요.
1636,사거리 다음 도착 차내리다,사거리 지나서 내려주세요.,사거리 다음 도착 차내리다사거리 지나서 내려주세요.
1637,사거리 다음 여기,사거리 지나서 내려주세요.,사거리 다음 여기사거리 지나서 내려주세요.
1638,대로 다음 내리다,큰 길 지나서 내려주세요.,대로 다음 내리다큰 길 지나서 내려주세요.
1639,대로 다음 내리다,큰 길 지나서 내려주세요.,대로 다음 내리다큰 길 지나서 내려주세요.
1640,대로 다음 차내리다,큰 길 지나서 내려주세요.,대로 다음 차내리다큰 길 지나서 내려주세요.
1641,대로 다음 차내리다,큰 길 지나서 내려주세요.,대로 다음 차내리다큰 길 지나서 내려주세요.
1642,대로 다음,큰 길 지나서 내려주세요.,대로 다음큰 길 지나서 내려주세요.
1643,대로 다음 도착 내리다,큰 길 지나서 내려주세요.,대로 다음 도착 내리다큰 길 지나서 내려주세요.
1644,대로 다음 도착 내리다,큰 길 지나서 내려주세요.,대로 다음 도착 내리다큰 길 지나서 내려주세요.
1645,대로 다음 도착 차내리다,큰 길 지나서 내려주세요.,대로 다음 도착 차내리다큰 길 지나서 내려주세요.
1646,대로 다음 도착 차내리다,큰 길 지나서 내려주세요.,대로 다음 도착 차내리다큰 길 지나서 내려주세요.
1647,대로 다음 여기,큰 길 지나서 내려주세요.,대로 다음 여기큰 길 지나서 내려주세요.
1648,육교 곳 다음 내리다,육교 지나서 내려주세요.,육교 곳 다음 내리다육교 지나서 내려주세요.
1649,육교 곳 다음 내리다,육교 지나서 내려주세요.,육교 곳 다음 내리다육교 지나서 내려주세요.
1650,육교 곳 다음 차내리다,육교 지나서 내려주세요.,육교 곳 다음 차내리다육교 지나서 내려주세요.
1651,육교 곳 다음 차내리다,육교 지나서 내려주세요.,육교 곳 다음 차내리다육교 지나서 내려주세요.
1652,육교 곳 다음,육교 지나서 내려주세요.,육교 곳 다음육교 지나서 내려주세요.
1653,육교 곳 다음 도착 내리다,육교 지나서 내려주세요.,육교 곳 다음 도착 내리다육교 지나서 내려주세요.
1654,육교 곳 다음 도착 내리다,육교 지나서 내려주세요.,육교 곳 다음 도착 내리다육교 지나서 내려주세요.
1655,육교 곳 다음 도착 차내리다,육교 지나서 내려주세요.,육교 곳 다음 도착 차내리다육교 지나서 내려주세요.
1656,육교 곳 다음 도착 차내리다,육교 지나서 내려주세요.,육교 곳 다음 도착 차내리다육교 지나서 내려주세요.
1657,육교 곳 다음 여기,육교 지나서 내려주세요.,육교 곳 다음 여기육교 지나서 내려주세요.
1658,보건소 곳 다음 내리다,보건소 지나서 내려주세요.,보건소 곳 다음 내리다보건소 지나서 내려주세요.
1659,보건소 곳 다음 내리다,보건소 지나서 내려주세요.,보건소 곳 다음 내리다보건소 지나서 내려주세요.
1660,보건소 곳 다음 차내리다,보건소 지나서 내려주세요.,보건소 곳 다음 차내리다보건소 지나서 내려주세요.
1661,보건소 곳 다음 차내리다,보건소 지나서 내려주세요.,보건소 곳 다음 차내리다보건소 지나서 내려주세요.
1662,보건소 곳 다음,보건소 지나서 내려주세요.,보건소 곳 다음보건소 지나서 내려주세요.
1663,보건소 곳 다음 도착 내리다,보건소 지나서 내려주세요.,보건소 곳 다음 도착 내리다보건소 지나서 내려주세요.
1664,보건소 곳 다음 도착 내리다,보건소 지나서 내려주세요.,보건소 곳 다음 도착 내리다보건소 지나서 내려주세요.
1665,보건소 곳 다음 도착 차내리다,보건소 지나서 내려주세요.,보건소 곳 다음 도착 차내리다보건소 지나서 내려주세요.
1666,보건소 곳 다음 도착 차내리다,보건소 지나서 내려주세요.,보건소 곳 다음 도착 차내리다보건소 지나서 내려주세요.
1667,보건소 곳 다음 여기,보건소 지나서 내려주세요.,보건소 곳 다음 여기보건소 지나서 내려주세요.
1668,언덕 다음 여기,언덕 지나서 내려주세요.,언덕 다음 여기언덕 지나서 내려주세요.
1669,언덕 저기 곳 다음 내리다,언덕 지나서 내려주세요.,언덕 저기 곳 다음 내리다언덕 지나서 내려주세요.
1670,언덕 저기 곳 다음 내리다,언덕 지나서 내려주세요.,언덕 저기 곳 다음 내리다언덕 지나서 내려주세요.
1671,언덕 저기 곳 다음 차내리다,언덕 지나서 내려주세요.,언덕 저기 곳 다음 차내리다언덕 지나서 내려주세요.
1672,언덕 저기 곳 다음 차내리다,언덕 지나서 내려주세요.,언덕 저기 곳 다음 차내리다언덕 지나서 내려주세요.
1673,언덕 저기 곳 다음,언덕 지나서 내려주세요.,언덕 저기 곳 다음언덕 지나서 내려주세요.
1674,언덕 저기 곳 다음 도착 내리다,언덕 지나서 내려주세요.,언덕 저기 곳 다음 도착 내리다언덕 지나서 내려주세요.
1675,언덕 저기 곳 다음 도착 내리다,언덕 지나서 내려주세요.,언덕 저기 곳 다음 도착 내리다언덕 지나서 내려주세요.
1676,언덕 저기 곳 다음 도착 차내리다,언덕 지나서 내려주세요.,언덕 저기 곳 다음 도착 차내리다언덕 지나서 내려주세요.
1677,언덕 저기 곳 다음 도착 차내리다,언덕 지나서 내려주세요.,언덕 저기 곳 다음 도착 차내리다언덕 지나서 내려주세요.
1678,은행 다음 여기,은행 지나서 내려주세요.,은행 다음 여기은행 지나서 내려주세요.
1679,은행 저기 곳 다음 내리다,은행 지나서 내려주세요.,은행 저기 곳 다음 내리다은행 지나서 내려주세요.
1680,은행 저기 곳 다음 내리다,은행 지나서 내려주세요.,은행 저기 곳 다음 내리다은행 지나서 내려주세요.
1681,은행 저기 곳 다음 차내리다,은행 지나서 내려주세요.,은행 저기 곳 다음 차내리다은행 지나서 내려주세요.
1682,은행 저기 곳 다음 차내리다,은행 지나서 내려주세요.,은행 저기 곳 다음 차내리다은행 지나서 내려주세요.
1683,은행 저기 곳 다음,은행 지나서 내려주세요.,은행 저기 곳 다음은행 지나서 내려주세요.
1684,은행 저기 곳 다음 도착 내리다,은행 지나서 내려주세요.,은행 저기 곳 다음 도착 내리다은행 지나서 내려주세요.
1685,은행 저기 곳 다음 도착 내리다,은행 지나서 내려주세요.,은행 저기 곳 다음 도착 내리다은행 지나서 내려주세요.
1686,은행 저기 곳 다음 도착 차내리다,은행 지나서 내려주세요.,은행 저기 곳 다음 도착 차내리다은행 지나서 내려주세요.
1687,은행 저기 곳 다음 도착 차내리다,은행 지나서 내려주세요.,은행 저기 곳 다음 도착 차내리다은행 지나서 내려주세요.
1688,경찰 곳 다음 여기,경찰서 지나서 내려주세요.,경찰 곳 다음 여기경찰서 지나서 내려주세요.
1689,경찰 저기 곳 다음 내리다,경찰서 지나서 내려주세요.,경찰 저기 곳 다음 내리다경찰서 지나서 내려주세요.
1690,경찰 저기 곳 다음 내리다,경찰서 지나서 내려주세요.,경찰 저기 곳 다음 내리다경찰서 지나서 내려주세요.
1691,경찰 저기 곳 다음 차내리다,경찰서 지나서 내려주세요.,경찰 저기 곳 다음 차내리다경찰서 지나서 내려주세요.
1692,경찰 저기 곳 다음 차내리다,경찰서 지나서 내려주세요.,경찰 저기 곳 다음 차내리다경찰서 지나서 내려주세요.
1693,경찰 저기 곳 다음,경찰서 지나서 내려주세요.,경찰 저기 곳 다음경찰서 지나서 내려주세요.
1694,경찰 저기 곳 다음 도착 내리다,경찰서 지나서 내려주세요.,경찰 저기 곳 다음 도착 내리다경찰서 지나서 내려주세요.
1695,경찰 저기 곳 다음 도착 내리다,경찰서 지나서 내려주세요.,경찰 저기 곳 다음 도착 내리다경찰서 지나서 내려주세요.
1698,편지 저기 곳,우체국 지나서 내려주세요.,편지 저기 곳우체국 지나서 내려주세요.
1699,편지 저기 곳 다음 내리다,우체국 지나서 내려주세요.,편지 저기 곳 다음 내리다우체국 지나서 내려주세요.
1700,편지 저기 곳 다음 내리다,우체국 지나서 내려주세요.,편지 저기 곳 다음 내리다우체국 지나서 내려주세요.
1701,편지 저기 곳 다음 차내리다,우체국 지나서 내려주세요.,편지 저기 곳 다음 차내리다우체국 지나서 내려주세요.
1702,편지 저기 곳 다음 차내리다,우체국 지나서 내려주세요.,편지 저기 곳 다음 차내리다우체국 지나서 내려주세요.
1703,편지 저기 곳 다음,우체국 지나서 내려주세요.,편지 저기 곳 다음우체국 지나서 내려주세요.
1704,편지 저기 곳 다음 도착 내리다,우체국 지나서 내려주세요.,편지 저기 곳 다음 도착 내리다우체국 지나서 내려주세요.
1705,편지 저기 곳 다음 도착 내리다,우체국 지나서 내려주세요.,편지 저기 곳 다음 도착 내리다우체국 지나서 내려주세요.
1708,신호등 다음 내리다 ?,신호등 지나서 내려드릴까요?,신호등 다음 내리다 ?신호등 지나서 내려드릴까요?
1709,신호등 다음 내리다 ?,신호등 지나서 내려드릴까요?,신호등 다음 내리다 ?신호등 지나서 내려드릴까요?
1710,힘들다,힘듭니다.,힘들다힘듭니다.
1711,신호등 다음 차내리다 ?,신호등 지나서 내려드릴까요?,신호등 다음 차내리다 ?신호등 지나서 내려드릴까요?
1712,신호등 다음 곳 ?,신호등 지나서 내려드릴까요?,신호등 다음 곳 ?신호등 지나서 내려드릴까요?
1713,신호등 다음 도착 내리다 ?,신호등 지나서 내려드릴까요?,신호등 다음 도착 내리다 ?신호등 지나서 내려드릴까요?
1714,신호등 다음 도착 내리다 ?,신호등 지나서 내려드릴까요?,신호등 다음 도착 내리다 ?신호등 지나서 내려드릴까요?
1715,신호등 다음 도착 차내리다 ?,신호등 지나서 내려드릴까요?,신호등 다음 도착 차내리다 ?신호등 지나서 내려드릴까요?
1716,신호등 다음 도착 차내리다 ?,신호등 지나서 내려드릴까요?,신호등 다음 도착 차내리다 ?신호등 지나서 내려드릴까요?
1717,신호등 다음 여기 ?,신호등 지나서 내려드릴까요?,신호등 다음 여기 ?신호등 지나서 내려드릴까요?
1718,터널 다음 내리다 ?,터널 지나서 내려드릴까요?,터널 다음 내리다 ?터널 지나서 내려드릴까요?
1719,터널 다음 내리다 ?,터널 지나서 내려드릴까요?,터널 다음 내리다 ?터널 지나서 내려드릴까요?
1720,터널 다음 차내리다 ?,터널 지나서 내려드릴까요?,터널 다음 차내리다 ?터널 지나서 내려드릴까요?
1721,터널 다음 차내리다 ?,터널 지나서 내려드릴까요?,터널 다음 차내리다 ?터널 지나서 내려드릴까요?
1722,터널 다음 곳 ?,터널 지나서 내려드릴까요?,터널 다음 곳 ?터널 지나서 내려드릴까요?
1723,터널 다음 도착 내리다 ?,터널 지나서 내려드릴까요?,터널 다음 도착 내리다 ?터널 지나서 내려드릴까요?
1724,터널 다음 도착 내리다 ?,터널 지나서 내려드릴까요?,터널 다음 도착 내리다 ?터널 지나서 내려드릴까요?
1725,터널 다음 도착 차내리다 ?,터널 지나서 내려드릴까요?,터널 다음 도착 차내리다 ?터널 지나서 내려드릴까요?
1726,터널 다음 도착 차내리다 ?,터널 지나서 내려드릴까요?,터널 다음 도착 차내리다 ?터널 지나서 내려드릴까요?
1727,터널 다음 여기 ?,터널 지나서 내려드릴까요?,터널 다음 여기 ?터널 지나서 내려드릴까요?
1728,지하철 곳 다음 내리다 ?,지하철역 지나서 내려드릴까요?,지하철 곳 다음 내리다 ?지하철역 지나서 내려드릴까요?
1729,지하철 곳 다음 내리다 ?,지하철역 지나서 내려드릴까요?,지하철 곳 다음 내리다 ?지하철역 지나서 내려드릴까요?
1730,지하철 곳 다음 차내리다 ?,지하철역 지나서 내려드릴까요?,지하철 곳 다음 차내리다 ?지하철역 지나서 내려드릴까요?
1731,지하철 곳 다음 차내리다 ?,지하철역 지나서 내려드릴까요?,지하철 곳 다음 차내리다 ?지하철역 지나서 내려드릴까요?
1732,지하철 곳 다음 곳 ?,지하철역 지나서 내려드릴까요?,지하철 곳 다음 곳 ?지하철역 지나서 내려드릴까요?
1737,지하철 곳 다음 여기 ?,지하철역 지나서 내려드릴까요?,지하철 곳 다음 여기 ?지하철역 지나서 내려드릴까요?
1738,군청 곳 다음 내리다 ?,주민센터 지나서 내려드릴까요?,군청 곳 다음 내리다 ?주민센터 지나서 내려드릴까요?
1739,군청 곳 다음 내리다 ?,주민센터 지나서 내려드릴까요?,군청 곳 다음 내리다 ?주민센터 지나서 내려드릴까요?
1740,군청 곳 다음 차내리다 ?,주민센터 지나서 내려드릴까요?,군청 곳 다음 차내리다 ?주민센터 지나서 내려드릴까요?
1741,군청 곳 다음 차내리다 ?,주민센터 지나서 내려드릴까요?,군청 곳 다음 차내리다 ?주민센터 지나서 내려드릴까요?
1742,군청 곳 다음 곳 ?,주민센터 지나서 내려드릴까요?,군청 곳 다음 곳 ?주민센터 지나서 내려드릴까요?
1747,군청 곳 다음 여기 ?,주민센터 지나서 내려드릴까요?,군청 곳 다음 여기 ?주민센터 지나서 내려드릴까요?
1748,병원 다음 여기 ?,병원 지나서 내려드릴까요?,병원 다음 여기 ?병원 지나서 내려드릴까요?
1749,병원 다음 내리다 ?,병원 지나서 내려드릴까요?,병원 다음 내리다 ?병원 지나서 내려드릴까요?
1750,병원 다음 내리다 ?,병원 지나서 내려드릴까요?,병원 다음 내리다 ?병원 지나서 내려드릴까요?
1751,병원 다음 차내리다 ?,병원 지나서 내려드릴까요?,병원 다음 차내리다 ?병원 지나서 내려드릴까요?
1752,병원 다음 차내리다 ?,병원 지나서 내려드릴까요?,병원 다음 차내리다 ?병원 지나서 내려드릴까요?
1753,병원 저기 다음 곳 ?,병원 지나서 내려드릴까요?,병원 저기 다음 곳 ?병원 지나서 내려드릴까요?
1754,병원 저기 다음 도착 내리다 ?,병원 지나서 내려드릴까요?,병원 저기 다음 도착 내리다 ?병원 지나서 내려드릴까요?
1755,병원 저기 다음 도착 내리다 ?,병원 지나서 내려드릴까요?,병원 저기 다음 도착 내리다 ?병원 지나서 내려드릴까요?
1758,샛길 다음 여기 ?,골목길 지나서 내려드릴까요?,샛길 다음 여기 ?골목길 지나서 내려드릴까요?
1759,샛길 다음 내리다 ?,골목길 지나서 내려드릴까요?,샛길 다음 내리다 ?골목길 지나서 내려드릴까요?
1760,샛길 다음 내리다 ?,골목길 지나서 내려드릴까요?,샛길 다음 내리다 ?골목길 지나서 내려드릴까요?
1761,샛길 다음 차내리다 ?,골목길 지나서 내려드릴까요?,샛길 다음 차내리다 ?골목길 지나서 내려드릴까요?
1762,샛길 다음 차내리다 ?,골목길 지나서 내려드릴까요?,샛길 다음 차내리다 ?골목길 지나서 내려드릴까요?
1763,샛길 저기 다음 곳 ?,골목길 지나서 내려드릴까요?,샛길 저기 다음 곳 ?골목길 지나서 내려드릴까요?
1768,버스 곳 다음 여기 ?,버스정류장 지나서 내려드릴까요?,버스 곳 다음 여기 ?버스정류장 지나서 내려드릴까요?
1769,버스 곳 다음 내리다 ?,버스정류장 지나서 내려드릴까요?,버스 곳 다음 내리다 ?버스정류장 지나서 내려드릴까요?
1770,버스 곳 다음 내리다 ?,버스정류장 지나서 내려드릴까요?,버스 곳 다음 내리다 ?버스정류장 지나서 내려드릴까요?
1771,버스 곳 다음 차내리다 ?,버스정류장 지나서 내려드릴까요?,버스 곳 다음 차내리다 ?버스정류장 지나서 내려드릴까요?
1772,버스 곳 다음 차내리다 ?,버스정류장 지나서 내려드릴까요?,버스 곳 다음 차내리다 ?버스정류장 지나서 내려드릴까요?
1773,버스 곳 저기 다음 곳 ?,버스정류장 지나서 내려드릴까요?,버스 곳 저기 다음 곳 ?버스정류장 지나서 내려드릴까요?
1778,119 곳 다음 여기 ?,소방서 지나서 내려드릴까요?,119 곳 다음 여기 ?소방서 지나서 내려드릴까요?
1779,119 곳 다음 내리다 ?,소방서 지나서 내려드릴까요?,119 곳 다음 내리다 ?소방서 지나서 내려드릴까요?
1780,119 곳 다음 내리다 ?,소방서 지나서 내려드릴까요?,119 곳 다음 내리다 ?소방서 지나서 내려드릴까요?
1781,119 곳 다음 차내리다 ?,소방서 지나서 내려드릴까요?,119 곳 다음 차내리다 ?소방서 지나서 내려드릴까요?
1782,119 곳 다음 차내리다 ?,소방서 지나서 내려드릴까요?,119 곳 다음 차내리다 ?소방서 지나서 내려드릴까요?
1783,119 곳 저기 다음 곳 ?,소방서 지나서 내려드릴까요?,119 곳 저기 다음 곳 ?소방서 지나서 내려드릴까요?
1788,사거리 다음 내리다 ?,사거리 지나서 내려드릴까요?,사거리 다음 내리다 ?사거리 지나서 내려드릴까요?
1789,사거리 다음 내리다 ?,사거리 지나서 내려드릴까요?,사거리 다음 내리다 ?사거리 지나서 내려드릴까요?
1790,사거리 다음 차내리다 ?,사거리 지나서 내려드릴까요?,사거리 다음 차내리다 ?사거리 지나서 내려드릴까요?
1791,사거리 다음 차내리다 ?,사거리 지나서 내려드릴까요?,사거리 다음 차내리다 ?사거리 지나서 내려드릴까요?
1792,사거리 다음 ?,사거리 지나서 내려드릴까요?,사거리 다음 ?사거리 지나서 내려드릴까요?
1793,사거리 다음 도착 내리다 ?,사거리 지나서 내려드릴까요?,사거리 다음 도착 내리다 ?사거리 지나서 내려드릴까요?
1794,사거리 다음 도착 내리다 ?,사거리 지나서 내려드릴까요?,사거리 다음 도착 내리다 ?사거리 지나서 내려드릴까요?
1795,사거리 다음 도착 차내리다 ?,사거리 지나서 내려드릴까요?,사거리 다음 도착 차내리다 ?사거리 지나서 내려드릴까요?
1796,사거리 다음 도착 차내리다 ?,사거리 지나서 내려드릴까요?,사거리 다음 도착 차내리다 ?사거리 지나서 내려드릴까요?
1797,사거리 다음 여기 ?,사거리 지나서 내려드릴까요?,사거리 다음 여기 ?사거리 지나서 내려드릴까요?
1798,대로 다음 내리다 ?,큰 길 지나서 내려드릴까요?,대로 다음 내리다 ?큰 길 지나서 내려드릴까요?
1799,대로 다음 내리다 ?,큰 길 지나서 내려드릴까요?,대로 다음 내리다 ?큰 길 지나서 내려드릴까요?
1800,대로 다음 차내리다 ?,큰 길 지나서 내려드릴까요?,대로 다음 차내리다 ?큰 길 지나서 내려드릴까요?
1801,대로 다음 차내리다 ?,큰 길 지나서 내려드릴까요?,대로 다음 차내리다 ?큰 길 지나서 내려드릴까요?
1802,대로 다음 ?,큰 길 지나서 내려드릴까요?,대로 다음 ?큰 길 지나서 내려드릴까요?
1803,대로 다음 도착 내리다 ?,큰 길 지나서 내려드릴까요?,대로 다음 도착 내리다 ?큰 길 지나서 내려드릴까요?
1804,대로 다음 도착 내리다 ?,큰 길 지나서 내려드릴까요?,대로 다음 도착 내리다 ?큰 길 지나서 내려드릴까요?
1805,대로 다음 도착 차내리다 ?,큰 길 지나서 내려드릴까요?,대로 다음 도착 차내리다 ?큰 길 지나서 내려드릴까요?
1806,대로 다음 도착 차내리다 ?,큰 길 지나서 내려드릴까요?,대로 다음 도착 차내리다 ?큰 길 지나서 내려드릴까요?
1807,대로 다음 여기 ?,큰 길 지나서 내려드릴까요?,대로 다음 여기 ?큰 길 지나서 내려드릴까요?
1808,육교 곳 다음 내리다 ?,육교 지나서 내려드릴까요?,육교 곳 다음 내리다 ?육교 지나서 내려드릴까요?
1809,육교 곳 다음 내리다 ?,육교 지나서 내려드릴까요?,육교 곳 다음 내리다 ?육교 지나서 내려드릴까요?
