formal	informal	android	azae	chat	choding	emoticon	enfp	gentle	halbae	halmae	joongding	king	naruto	seonbi	sosim	translator
현재 어디서 일하시고 계시는 중인가요?	현재 어디서 일하고 있어?	현재. 근무지. 어디인가.	지금은? 어디서 일하나?	지금 어디서 일 해?	지금은 어디서 일하는 중임?	지금 어디서 일 해? (´･ω･`)?	지금은 어디서 일하구 있엉?	현재 어디서 일하고 계십니까?	지금 어디서 일하고 계시나?....	시방 어디서 일하고 있냐?	지금 어디서 일하는데	현재 어디서 과업에 정진하고 있는가?	지금 어디서 일하고 있냐니깐!	지금 어디서 일 하고 계신 것이오?	지금은 어디서 일하고 있어 혹시..?	당신은 지금 어디에서 일하고 있나요?
폭스바겐 회사에서 일하고 있습니다.	폭스바겐 회사에서 일하고 있어.	폭스바겐. 회사. 근무중.	폭스바겐 회사에서 일하고 있어~	폭스바겐 회사에서 일하고 있지	폭스바겐 회사에서 일함 ㅋㅋ	폭스바겐 회사에서 일하고 있어 ^0^	폭스바겐 회사에서 일하고 있지~	폭스바겐 회사에서 일하고 있습니다.	폭스바겐 회사에서 일하고 있구먼…	폭스바겐 회사에서 일하제	폭스바겐	폭스바겐 회사에서 직무에 정진하고 있소.	폭스바겐 회사에서 일하고 있다니깐!	폭스바겐 회사에서 일하고 있소!	폭스바겐 회사에서 일하고 있어..	저는 폭스바겐에서 일합니다.
자동차 디자인을 하시는건가요?	자동차 디자인을 하는거야?	자동차. 디자인. 하는가.	자동차 디자인?	자동차 디자인 하는거임?	자동차 디자인함??	자동차 디자인을 하는 거야? (⊙_⊙)？	자동차 디자인 하는거야?	자동차 디자인을 하십니까?	자동차 디자인을 하고 있는겨?	자동차 디자인하고 자빠졌냐?	차 디자인 하냐 ㅋ	자동차 디자인을 하는건가?	자동차 디자인을 하고 있는 거냐니깐!	자동차 디자인 하는 일을 하고 있는 것이오?	자동차 디자인 하는거야 혹시..?	당신은 자동차 디자인을 한다?
네, 2011 폭스바겐 파삿을 디자인했습니다.	응, 2011 폭스바겐 파삿을 디자인했어.	긍정. 2011. 폭스바겐. 파삿. 디자인.	잉~ 2011 폭스바겐 파삿 디자인하고 그랬어 ㅎㅎ	ㅇㅇ 2011 폭스바겐 파삿 디자인했음	ㅇㅇ 2011 폭스바겐 피삿 내가 함 ㅋㅋ	응! 2011 폭스바겐 파삿 디자인 햇어! (★‿★)	웅웅 2011 폭스바겐 파삿을 디자인했엉 ㅎㅎ	네. 2011 폭스바겐 파삿을 디자인했습니다.	그렇네….내가…2011 폭스바겐 파삿을 디자인 했구먼..	2011 폭스바겐 파삿이 내 디자인 아녀	ㅇ 2011 폭스바겐 파삿 디자인했는데 왜	그렇소. 2011 폭스바겐 파사을 디자인하였소.	그렇다니깐! 내가 2011 폭스바겐 파삿을 디자인했다니깐!	그렇소! 소생이 2011 폭스바겐 파삿을 디자인 한 것이오!	응.. 2011 폭스바겐 파삿 디자인했어..	그런, 2011 폭스바겐 파삿을 디자인했다.
평소에 타는 자동차네요.	평소에 네가 타는 자동차네.	평소. 휴먼. 해당 자동차. 탄다.	평소에 타는 자동차 아녀?	평소에 니가 타고 다니는 차네	너가 평소에 타고 다니는 거 아님??	평송에 네가 타는 자동차네 ヾ(•ω•`)o	평소에 타는 자동차네~?	평소에 타시는 자동차군요.	평소에…자네가 타고 다니던 자동차구먼…	염병할 평소에 오지게 타는 차 아녀	평소에 니가 타던거네 ㅋ	평소에 그대가 타는 자동차로구만.	평소에 네가 타는 자동차라니깐!	평소에 그대가 타는 자동차인 것이오!	평소에 너가 타는 자동차네..	그것은 당신의 일상용 자동차.
네, 제가 디자인 과정에 참여하다 보니 애정이 생기게 되었습니다.	응, 디자인 과정에 참여하다 보니 애정이 생기더라.	긍정. 디자인. 과정. 참여함. 애정. 생김.	잉ㅋㅋ 내가 디자인 과정에 참여하다 보니까 애정이 생기더라구	ㅇㅇ 디자인 과정에 참여하다 보니까 애정이 생김 ㅋㅋ	ㅇㅇ 디자인 과정에 참여하다 보니까 애정 생긴 듯 ㅋㅋ	응 디자인 과정에 참여하다 보니까 애정이 생기더라 o(*////▽////*)q	웅웅 내가 디자인 과정에 참여하다 보니까 애정이 생기게 된 것 같앙!	네. 제가 디자인 과정에 참여하다 보니 애정이 생기게 되었습니다.	그러구먼…디자인 과정에 참여하다 보니 애정이 생겼구먼…	니기럴 거 디자인 과정에 참여하다 보니까 염병 정이 들어버렸네	ㅇ 디자인과정에 참여했으니까 당연히 애정이 생기지 ㅡㅡ	그렇소. 디자인 과정에 참여하다 보니 어여삐 여기게 되었소.	그렇다니깐! 디자인 과정에서 참여하다 보니까 애정이 생겼더라니깐!	그렇소! 디자인 과정에 참여하다 보니 애정이 생긴것이오!	응.. 디자인 과정에 참여하다보니까 애정 생긴 것 같아	그런, 나는 디자인 과정에 참여했고, 그로부터 애정이 생겼다.
멋진 차를 디자인 할 수 있어서 매우 자랑스러우시겠어요.	멋진 차를 디자인 할 수 있어서 자랑스러울 것 같아.	멋진 차. 디자인. 자랑스러운 일.	멋진 차 디자인 할 수 있어서 자랑스럽겠구만	멋지 차를 디자인 할 수 있었어서 자랑스럽겠다	멋진 차를 디자인 할 수 있다니 존나 자랑스러울 듯	멋진 차를 디자인 할 수 있어서 자랑스럽겠어! (★‿★)(★‿★)	멋진 차를 디자인 할 수 있어서 넘 자랑스럽겠당 ㅎㅎ	멋진 차를 디자인 할 수 있어서 자랑스럽겠습니다.	멋지 차를 디자인 한 거여서 자랑스럽겠구먼…	삐까뻔쩍한 차를 디자인혀서 어깨 좀 피고 다니냐	좋은 차 디자인해서 자랑스럽겠네 ㅋ	멋진 차를 디자인 할 수 있어 자랑스럽겠구려.	멋진 차를 디자인 할 수 있었어서 자랑스울 것 같다니깐!	멋지 차를 디자인 할 수 있었어서 자랑스러웠을 것 같소!	멋진 차 디자인해서 자랑스럽겠다..	당신은 멋진 차를 디자인했고, 그것은 자랑스러운 일입니다.
																
안녕하세요. 요즘은 어떻게 지내시나요?	안녕. 요즘은 어떻게 지내?	반갑다. 요즘. 어떤가.	어이구 안녕한신가~ 요즘은 어떻게, 잘 지내?	하이, 요즘 어떻게 지냄?	ㅎㅇ 요즘 뭐하고 지내냐?	안녕! 요즘 어떻게 지내? ~(=^‥^)ノ	안뇽! 요즘 뭐하고 지냉?	안녕하십니까. 요즘 어떻게 지내셨나요?	안녕하시게나…요즘 어떻게 지내는고…	염병 요즘 또 어떻게 지내냐?	ㅎㅇ 뭐하고 사냐	반갑네. 요즘 강녕한가?	안녕하냐니깐! 요즘 어떻게 지내냐니깐!	안녕하시오! 요즘 어떻게 지내고 계시오!?	안녕.. 혹시 요즘은 잘 지내..?	반가운, 당신은 최근 어떻습니까?
별로 상황이 좋지는 않습니다. 지난 달에 은행에서 잘렸어요.	별로 상황이 좋지는 않아. 지난 달에 은행에서 잘렸어.	상황. 나쁘다. 지난 달. 은행. 실직.	별로 상황이 좋진 않지,, 지난 달에 저 은행에서 잘렸어	별로야 요즘… 지날 달에 은행에서 잘렸음..	하 지금 별로 상황이 안 좋음. 지난 달에 은행에서 잘렸어	별로 상황이 좋진 않아…지난 달에 은행에서 잘렸어…/(ㄒoㄒ)/~~	별로 좋은 상황은 아니야,, 지난 달에 은행에서 잘렸거든,,	별로 좋은 상황은 아니였습니다. 지난 달에 은행에서 잘렸습니다.	별로 상황이 좋지 않구먼…지난 달에 은행에서 잘렸다네…	18색 조카 크래파스같네. 지난 달에 빌어먹을 은행에서 잘렸어	별로임 ㅡㅡ 지난달에 은행에서 잘림	상황이 썩 훌륭하지는 않소. 지난 달에 은행에서 해고통지를 받았기 때문이오.	별로 상황이 좋진 않다니깐! 지난달에 은행에서 잘렸다니깐!	딱히 상황이 좋진 않소…지난 달에 은행에서 잘린것이오….	별로 상황이 좋지는 않아.. 지난달에 은행에서 잘렸거든 ㅠ	그리 좋은 상황을 가지고 있지 않다, 나는 지난 달에 은행으로부터 해고.
듣게 되어서 유감입니다. 직장을 잃는다는건 정말 슬프죠.	유감이다. 직장을 잃는다는건 정말 슬프지.	유감. 실직. 슬픈 일.	아이고 듣게 되서 유감이네,, 직장 잃는 건 슬프지	안타깝네…직장 잃는 건 진짜 슬프지	오우,,, 안타깝누,, 직장을 잃다니 할 말이 없네,,,	유감이야…직장 잃는 건 진짜 슬프지…T_T	듣게 되어서 유감이당,, 직장 잃는단 건 진짜 슬프지,,	듣게 되어서 유감이네요. 직장을 잃는 건 정말 슬픈 일입니다.	유감이구먼…직장 잃는게 참 슬픈 일이긴 허지…	어우 시부럴 뭣같구만. 직장 잃는단건 정말 족같지	직장 잃는게 슬프긴 하지	유감이오. 직장을 잃는다는 것은 참으로 비통스러운 일이오.	유감이라니깐…직장 잃는다는게 진짜 슬픈 일이라니깐…	유감이오…직장을 잃는 다는 건 정말 슬픈일인 것이오…	아쉽다.. 직장 잃는게 엄청 슬픈 일인 것 같아	그것은 참 슬픈. 직장을 잃어버리는 것은 슬프다.
직장을 잃어보신 적이 있으신가요?	잘려본 적이 있어?	해고. 경험. 있는가.	직장,,, 잃어본 적 있어?	너도 잘린 적 있어?	잘려본 적 있음?	잘려 본 적 있는거야? (⊙_⊙;)	직장 잃어본 적 있엉..?	직장을 잃어보신 적 있으십니까?	잘려 본 적 있는 겐가?...	니기럴 거 잃어본 적은 있냐? 	잘려본 적은 있냐	해고통지를 받아본 적이 있는가?	잘려 본 적이 있는 거냐니깐…	잘려 본 적이 있는 것이오?	잘려본 적 있어 혹시..?	당신은 해고의 경험이 있습니까?
네, 작년 6월에 회사가 부도났었습니다.	응, 작년 6월에 회사가 부도났었어.	긍정. 작년 6월, 회사. 부도. 경험.	잉~ 작년 6월에 회사 부도났었어	ㅇㅇ.. 작년 6월에 회사가 부도났었음..	ㅇㅇ 작년 6월에 회사 부도 났었음 ㅋㅋ	응 작년 6월에 회사가 부도 났었어…(┬┬﹏┬┬)	웅,, 작년 6월에 회사가 부도났어ㅜ	네. 작년 6월에 회사가 부도났었습니다.	있구먼…작년 6월에 회사가 부도가 났었다네…	작년 6월에 지랄난 회사가 부도났었어	ㅇ 작년 6월에 회사 부도났는데 왜	그렇소, 작년 6월쯤 회사가 부도가 났소.	그렇다니깐…작년 6월에 회사가 부도 났었다니깐…	그렇소…작년 6월에 회사가 부도 났었소…	응.. 작년 6월에 회사 부도났었어 ㅠ	그런, 작년 6월에 나의 회사는 파산했다.
무슨 일을 하셨었나요?	무슨 일을 했었는데?	무슨 일. 했는가.	뭔 일 했는데?	뭔 일 했었는데?	엥 무슨 일 했었는데?	무슨 일 했었음? (⊙_⊙)？	뭔 일 했엉~?	무슨 일을 하셨었습니까?	무슨 일을 했는겨?	뭔 일을 쳐하고 있던겨	뭔일했는데	무슨 과업에 정진하였는가?	무슨 일을 했었냐니깐!	무슨 일을 했었던 것이오?	무슨 일 했는데?	당신의 직업은 무엇?
도어 대시라는 회사에서 csr로 일하고 있었습니다.	도어 대시라는 회사에서 csr로 일하고 있었어.	회사명. 도어 대시. 근무중. 직무. csr.	도어 대시라는 회사에서 csr로 일하고 있었어~	도어 대시라는 회사에서 csr로 일하고 있었음	도어 대시라는 회사에서 csr로 일했었어 ㅋㅋ	도어 대시라는 회사에서 csr로 일했어 ^0^	도어 대시라는 회사에서 csr로 일하고 있엉!	도어 대시라는 회사에서 csr로 일하고 있었습니다.	도어 대시라는 회사에서 csr로 일했었다네…	도어 대시란 회사에서 등신같이 csr로 일하고 있었제	도어대시에서 csr로 일했지	도어 대시라는 회사에서 csr로 정진하였소.	도어 도시라는 회사에서 csr로 일했었다니깐!	도어 대시라는 회사에서 csr로 일한 것이오!	도어 대시라는 회사에서 csr로 일하고 있었어..	도어 대시 회사에서 csr로 근무했다.
csr가 뭔지는 모르겠지만, 도어 대시라는 회사는 알고 있습니다. 큰 회사였잖아요.	csr가 뭔지는 모르겠지만, 도어 대시라는 회사는 알고 있어. 큰 회사였잖아.	csr. 모른다. 그러나. 도어 대시. 안다. 회사. 규모. 크다.	csr가 뭔진 모르겠네, 도어 대시라는 회사는 알지 큰~ 회사잖아?	csr이 뭔지는 몰겠는데, 도어 대시라는 회사는 알아. 큰 회사였잖어	csr이 뭔진 몰라도 도어 대시는 안다 대기업 아님??	csr이 뭔진 모르겠는데, 도어 대시라는 회사는 알고 있어. 큰 회사였잖아! (★‿★)	csr가 뭔진 모르겠는데,, 도어 대시라는 회사는 알고 있엉!! 큰 회사였잖아!!	csr가 뭔진 모르지만, 도어 대시라는 회사는 알고 있습니다. 큰 회사아닙니까.	csr라는게…나는…잘 모르겠지만…도어 대시라는 회사는 알고 있구먼…큰 회사 잔혀…	csr가 뭔 지랄난 일인진 모르겠는디, 도어 대시란 염병할 회사는 알고 있네. 지랄맞게 큰 회사 아녀	csr은 뭔지 모르겠고 도어대시는 암. 큰 회사	csr이 무엇인지 내 모르겠으나, 도어 대시라는 회사는 알고 있소. 큰 회사가 아니었는가?	csr이 뭔지는 모르겠지만, 도어 대시라는 회사는 알고 있다니깐!	csr이 무엇인지는 소생은 잘 모르겠소이만, 도어 대시라는 회사는 알고 있소! 큰 회사이지 않소!	csr이 뭔지 잘 모르겠다.. 근데 도어대시는 알아! 큰 회사 맞지..?	나는 csr을 모른다, 그러나 도어 대시라는 회사는 숙지, 그 회사는 큰.
csr는 고객 서비스 담당자의 약자입니다. 해당 부서가 축소되면서 저도 잘렸습니다.	csr는 고객 서비스 담당자의 약자야. 해당 부서가 축소되면서 나도 잘렸어.	csr. 약자. 고객 서비스 담당자. 해당 부서. 축소. 안드로이드. 실직.	csr는 고객 서비스 담당자의 약자여. 해당 부서가 축소되면서 나도 같이 짤렸지 머	csr은 고객 서비스 담당자 약자임. 해당 부서 축소되면서 나도 잘려버림..	csr은 고객 서비스 담당자 약자임 해당 부서 축소되면서 나도 잘림,,ㅋㅋ	csr은 고객 서비스 담당자의 약자야. 해당 부서가 축소되면서 나도 잘렸어…T_T T_T	csr는 고객 서비스 담당자 약자야~ 해당 부서가 축소되면서 나도 잘렸징 ㅎㅎ	csr는 고객 서비스 담당자의 약자입니다. 해당 부서가 축소되면서 저도 잘렸습니다.	csr라는건…고객 서비스 담당자의 약자인걸세…해당 부서가 축소되면서…나도 잘려버렸구먼…	csr는 고객 서비스 담당자 약자여 븅시나. 해당 부서가 축소되면서 나도 모가지 댕강했어	csr은 고객 서비스 담당자임. 부서 축소되면서 나도 잘림	csr은 고객 서비스 담당자의 약자요. 해당 부서가 축소되며, 짐 또한 해고당했소.	csr이란건 고객 서비스 담당자릐 약자라니깐! 해당 부서가 축소 되면서 나도 같이 잘려버렸다니깐…	csr이란 고객 서비스 담당자의 약자인 것이오! 해당 부서가 축소되면서 소생도 같이 잘려버렸소..(┬┬﹏┬┬)	csr은 고객 서비스 담당자의 약자일 거야.. 부서 축소되면서 나도 잘렸어 ㅠ	csr은 고객 서비스 담당자를 상징한다. 그 부서는 줄어들었고, 나는 해고되었습니다.
그러면 지금은 뭘 하는 중이세요?	그러면 지금은 뭘 하는 중이야?	지금. 무엇. 하는가.	그럼 지금은 뭐 하고 지내?	그럼 지금은 뭐 하고 있음?	그럼 지금은 뭐함??	그럼 지금은 뭐 하는 중이야? (⊙_⊙)？	그럼 지금은 뭐하는 중이얌~?	그럼 지금은 뭘 하고 계십니까?	그럼…지금은 뭘 하고 계신건가?...	그럼 지금은 뭘 쳐 하고 있냐?	그래서 뭐하는데 지금은	허면 지금은 무엇을 하고 있는가?	그럼 지금은 뭘 하고 있는 거냐니깐!	그럼 지금은 무엇을 하고 계신 것이오?	그럼 지금은 뭐하는 중이야 혹시..?	그러면 지금 당신은 무엇을 하나요?
경쟁 회사에 취직하고 나서는, 일 뿐만 아니라 취미활동도 하고 있습니다. 퇴근하고 나면 근처에 있는 종합체육시설에서 수영을 해요.	경쟁 회사에 취직하고 나서는, 일 뿐만 아니라 취미활동도 같이 하고 있어. 퇴근하고 나면 근처에 있는 종합체육시설에서 수영을 해.	경쟁 회사. 취직. 그 후. 일. 취미활동. 병행. 퇴근 후. 근처 종합체육관. 수영 한다.	경쟁 회사에 취직하고 나서는 일도 하고 취미생활도 해~ 퇴근하고 근처에 종합체육시설에서 수영도 하고	경쟁 회사에 취직하고, 일 말고도 취미활동도 같이 하고 있음. 퇴근하고 나면 근처 종합체육시설에서 수영함	경쟁 회사에 취직해서 워라벨 챙기는 중ㅋㅋ 퇴근하고 근처 종합체육관에서 수영하고 있음	경쟁 회사에 취직하고 나서는, 일 말고도 취미활동도 같이 하고 있어. 퇴근하고 나면 근처에 있는 종합체육시설에 수영하러 가. ✪ ω ✪	경쟁 회사에 취직하고 나서는,, 일뿐만 아니라 취미활동도 하고 있엉!! 퇴근하고 나면 근처에 있는 종합체육시설에서 수영하고 있엉 ㅎㅎ	경쟁 회사에 취직하고는 일뿐만 아니라 취미활동도 하고 있습니다. 퇴근하고 근처의 종합체육시설에서 수영을 하고 있습니다.	경쟁 회사에 취직하고 나서는…일 뿐만 아니라 취미활동도 같이 하고 있구먼…퇴근하고 나면…근처에 있는 종합체육시설에 수영을 하러 간다네…	경쟁 회사에 취직하고 나선, 일뿐만 아니라 취미활동도 쳐 하고 있제. 퇴근하면 근처에 있는 종합체육시설에서 수영도 쳐 한다니까	경쟁 회사에 취직해서 일이랑 취미도 같이 함. 퇴근하면 주변에 종합체육시설에서 수영도 함	경쟁 회사에 취직한 뒤로, 일과 함께 취미활동도 겸하고 있소. 퇴근 후에 근처 종합체육시설에서 수영 또한 하오.	경쟁 회사에 취직하고 나선, 일 뿐만 아니라 취미 활동도 같이 하고 있다니깐! 퇴근하고 나면 근처에 있는 종합체육시설에 수영하러 간다니깐!	경쟁 회사에 취직하고 나서는, 일 뿐만 아니라 취미활동도 같이 하고 있어! 퇴근하고 나면 근처에 있는 종합체육시설에 수영을 하러 가고 있소!	경쟁 회사에 취직하고 나서는 일이랑 취미활동 병행하는 중이야.. 퇴근하면 근처에 종합체육시설에서 수영 해 ㅠ	경쟁 회사에 취직한 후 나는 일과 취미활동을 즐깁니다. 퇴근 후에 근처 체육관에서 수영을 한다.
특이한 취미활동을 하시고 계시네요.	특이한 취미활동을 하시고 있네.	취미생활. 특이.	거 특이한 취미활동 하시네	특이한 취미활동 하고 계시네 ㅋㅋ	특이한 취미활동하네	특이한 취미활동을 하고 있네 （＾∀＾●）ﾉｼ	특이한 취미활동 하고 있넹,,	특이한 취미활동을 하고 계시군요.	특이한 취미할동을 하고 계시구먼…	염병 지랄맞은 취미활동 중이네	특이한 취미활동 하네 ㅋ	특이한 취미활동을 하는구려.	특이한 취미활동을 하고 있는 것 같다니깐!	특이한 취미활동을 하고 계신다고 생각하오!	취미활동 특이한 것 같아..	당신의 취미활동은 특이합니다.
직장생활과 병행하기 힘들지만, 운동효과도 좋고 자유로워지는 기분입니다.	직장생활과 병행하기 힘들지만, 운동효과도 좋고 자유로워지는 기분이야.	직장생활. 병행. 힘들다. 운동효과. 좋다. 자유롭다.	직장생활이랑 병행하긴 쪼매 힘든디, 운동효과도 좋고 자유로워지는 기분이랄까?	일하고 병행하기 힘들긴한데, 운동효과도 좋고 자유로워지는 기분인 듯	직장생활이랑 병행하긴 힘든데, 운동효과도 좋고 자유로워지는 기분임 ㅋㅋ	직장생활하고 병행하기 힘들긴한데, 운동효과도 좋고 자유로워지는 기분인것 같아 o(*^＠^*)o	직장생활과 병행하긴 힘들지만,, 운동효과도 좋구 자유로워지는 기부니얌 ㅎㅎ	직장생활과 병행하기 힘들지만 운동효과도 좋고 자유로워지는 기분입니다.	직장하고 병행하기 힘들지먼…운동효과도 좋고 자유로워 지는 기분이구먼…	직장 생활이랑 병행하기가 좆같지만 운동효과도 좋고 자유로워지는 기분이여	직장생활이랑 병행하기 힘든데 운동 많이 됨	직장생활과 병행하기 힘든 것은 사실이나, 운동효과도 좋고 자유로워지는 기분이오.	직장생활과 병행하기 힘들지만, 운동효과도 좋고 자유러워지는 기분이라니깐!	직장생활하고 병행하기 힘들지만, 운동효과도 좋고 자유로워지는 기분 인 것 같소! 	직장생활이랑 병행하기 힘들긴 한데 운동효과도 좋은 것 같고.. 자유로워지는 기분이야	직장생활과 함께 하는것은 힘들다, 그러나 운동이 좋고 내 기분은 자유로워진다.
물에 떠있으면 붕붕 날아다니는 기분일 것 같아요.	물에 떠있으면 붕붕 날아다니는 기분일 것 같아.	물. 떠있기. 날아다니는 기분.	물에 둥둥 떠 있음 붕붕 날아다니는 기분이것구만	물에 떠있으면 붕붕 날아다니는 기분 일듯 ㅋㅋ	물에 떠있으면 붕붕 날아다니는 기분이겠다	물에 떠 있으면 붕붕 날아다니는 기분 일 것 같아 o(*￣▽￣*)ブ	물에 떠있음,, 붕붕 날아다니는 기분일 거 같앙!	물에 떠있으면 붕붕 날아다니는 기분일 것 같습니다.	물에 떠 있으면…붕붕 날아다니는 기분 일 것 같구먼…	물에 시체마냥 떠있음 붕붕 날아다니는 기분일 거 같어	물에 떠있으면 뭐 날아다니는 것 같겠네 ㅋ	물에 떠있으면 마치 날아다니는 기분과 같겠소.	물에 떠있으면 붕붕 날아다니는 기분 일 것 같다니깐!	물에 떠있으면 붕붕 날아다니는 기분일 것 같소!	물에 떠있으면 약간 날아다니는 기분일 것 같아..	물에 떠 있으면 날아다니는 기분과 같은 것으로 추측합니다.
코에 물이 들어갈 때 빼고는 정말 재밌어요.	코에 물이 들어갈 때 빼고는 정말 재밌어.	재밌다. 예외상황. 코에. 물. 들어감.	코에 물 들어갈 때 빼곤 재밌어~	코에 물 들어갈 때 빼고는 꿀잼임 ㅋㅋ	코에 물 들어갈 때 빼곤 재밌음 ㅋㅋ	코에 물이 들어갈 때 빼고는 진짜 잼있어! (❁´◡`❁) 	코에 물 들어갈 때 빼곤 진~짜 재밌엉 ㅎㅎ	코에 물이 들어갈 때 빼곤 정말 재밌었습니다.	코에 물이 들어갈 때 빼고는…정말 재미있는 것 같구먼..	코에 물 들어가는 지랄있는 거 빼곤 재밌어	코에 물들어갈 때 빼고는 재밌지 당연히 ㅡㅡ	코에 물이 들어갈 때 빼고는 참으로 즐겁소.	코에 물이 들어갈 때 빼고는 정말 재미있다니깐! 	코에 물이 들어갈 때 빼고는 정말 재미있는 것 같소!	코에 물 들어갈 때 뺴고는 재밌는 것 같아..	코에 물이 들어갈 때를 제외하면 재미있는.
아무도 소독액을 마시려고 수영장에 가진 않잖아요.	아무도 소독액을 마시려고 수영장에 가진 않잖아.	소독액. 섭취. 목적. 수영장. 방문. 없다.	에이 아무도 소독액 마시려고 수영장에 가진 않지~	아무도 소독액 마시려고 수영장에 가진 않잖어 ㅋㅋ	ㅋㅋㅋ아무도 소독액 마시려고 수영장 가진 않을 듯 ㅋㅋ	아무도 소독액을 마시려고 수영장에 가진 않잖아…（*゜ー゜*）	으~ 소독액 마시려고 수영장 가는 사람은 아~무도 없을거야ㅜ	수영장에 소독액 마시러 가는 사람은 아무도 없을 것입니다.	아무도 소독액을 마시려고 수영장에 가려고 하지는 않네…	어떤 등신이 소독액 마시려고 수영장에 가것냐	누가 소독액 마시러 수영장 가냐	누구도 소독액을 마시려 수영장에 가진 않을 터.	아무도 소독액을 마시려고 수영장에 가진 않는다니깐!	아무도 소독액을 마시려고 수영장에 가는 것 아니지 않소…	하긴 소독액 마시려고 수영장 가진 않으니까..	소독액 섭취를 위해 수영장을 방문하는 사람은 없다.
																
안녕하세요. 어제 병원을 다녀왔는데 놀라운 사실을 알게 되었어요.	안녕하세요. 어제 병원을 다녀왔는데 놀라운 사실을 알게 되었어요.	반갑다. 어제. 병원. 방문. 놀라운 사실. 발견.	안녕한가~ 어제 병원 다녀왔는데 놀라운 사실을 알게 되었지 뭐야	ㅎㅇㅎㅇ 어제 병원 다녀왔는데 놀랄 사실을 알게됨	ㅎㅇ 어제 병원 다녀왔는데 놀라운 사실 알아버림	안녕! 어제 병원 다녀왔는데 놀랄 사실을 알게됨…(＃°Д°)	안뇽~ 어제 병원 다녀왔는뎅,,, 놀라운 사실을 알았다!	안녕하십니까. 어제 병원을 다녀와서 놀라운 사실을 알게 되었네요.	안녕하신가…어제 내가 병원을 다녀왔는디…놀랄 얘기를 듣게됐구먼…	염병 어제 병원 갔다가 지랄맞은 사실을 알아버렸네	ㅎㅇ 어제 병원갔다왔는데 식겁했다	반갑소. 어제 병원을 다녀왔는데, 놀라운 사실을 알게 되었소.	안녕하냐니깐! 어제 병원 다녀왔는데 놀랄 사실을 알게 됐다니깐!	안녕하오! 어제 소생이 병원을 다녀왔는데 놀랄 사실을 알게 되었소…	안녕.. 어제 병원 다녀왔는데 놀라운거 발견한 것 같아	반가운, 어제 나는 병원에 다녀왔고, 놀라운 사실을 깨달았다.
안녕하세요. 무슨 일이세요?	안녕하세요. 무슨 일이세요?	반갑다. 무슨. 일인가.	안녕~ 무슨 일 있어?	ㅎㅇ 뭔 일인데?	ㅎㅇ 뭔일임?	안녕! 무슨 일인데? (⊙_⊙)？	안뇽 ㅎㅎ 뭔 일 있엉?!	안녕하십니까. 무슨 일 있으셨나요?	안녕하신가…무슨 일인겐가?...	니미럴 또 뭔 쓰잘데기 없는 일이래?	뭔일인데	반갑소. 어쩐 일인가?	안녕하냐니깐! 무슨 일이냐니깐!	안녕하시오! 무슨 일이오?	안녕.. 무슨 일이야 혹시..?	반가운, 무엇입니까?
저한테 최근에 생선 알레르기가 생겼다는 사실을 알았습니다.	저한테 최근에 생선 알레르기가 생겼다는 사실을 알았습니다.	안드로이드. 생선. 알레르기. 생겼다. 해당 사실. 최근에. 발견.	아니 글쎄 ㅋㅋ 나한테 최근에 생선 알러지가 생겼다네?	나한테 최근에 생선 알레르기 생긴 거 알게됨…	나 생선 알레르기 있대 ㅋㅋ 최근에 처음 앎	나한테 생선 알레르기가 생겼다는 걸 알게 됨… (⊙_⊙;)	나한테 최근 생선 알레르기 생겼다? 나도 처음 알았엉!!	저한테 최근 생선 알레르기가 생겼다는 사실을 알게 되었습니다.	나한테…요번에 생선 알레르기가 생겼다는 걸 알게됐구먼…	니미 시방 생선 알레르기가 생겼다잖냐	나 생선 알레르기 생겼더라 ㅡㅡ	짐에게 최근 생선 거부반응이 생겼다는 사실을 자각하게 되었소.	생선 알레르기가 생긴걸 알게됐다니깐…	소생한테 생선 알레르기가 생겼다는 것을 알게 된 것이오…	나 알고보니까 생선알레르기 생겼더라구..	나에게 있는 생선 알레르기의 존재에 대해 최근에 발견하였습니다.
생선이 얼마나 맛있는데 그걸 못 먹는다니, 매우 슬프네요.	생선이 얼마나 맛있는데 그걸 못 먹는다니, 매우 슬프네요.	생선. 맛있다. 먹지 못함. 슬프다.	생선이 을매나 맛난데, 그걸 못 먹어? 좀 슬픈디	생선이 얼마나 맛나는데 그걸 못 먹다니. 너무 슬프네	엥 생선 존맛인데 그걸 못 먹다니 ㅈㄴ 슬프네,,	생선이 얼마나 맛있는데 그걸 못 먹는다니… 너무 슬프네…/(ㄒoㄒ)/~~	생선이 얼마나 맛있는데,, 그걸 못 먹는다니!! 매우 슬프넹,,	생선이 얼마나 맛있는데, 그걸 못 드신다니,,, 몹시 슬프군요.	생선이 을매나…맛있는디…그걸 못 먹는다니…슬프구먼…	생선 오질나게 맛난디 그걸 못 쳐먹게 됐냐 염병 눈물이 난다 눈물이 나	ㅋ 생선 맛있는데 못먹겠네 이제	맛있는 생선을 먹지 못하다니, 참으로 안타까운 일이오.	생선이 얼마나 맛있는데 그걸 못다니 너무 슬프다니깐….	생선 정말 맛있는데 그걸 못 먹는다것은 매우 슬픈 일인 것이오...	생선 엄청 맛있는데 그걸 못먹는다니까 슬프다.. ㅠ	맛있는 생선을 섭취하지 못하는 것은 안타까운 일인.
